"id";"produto";"nome_busca";"cluster_sugerido";"subcluster_sugerido";"confianca";"motivo";"confirmado"
"10937";"FL RUIBARBO - 30G";"RUIBARBO - 30G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10941";"AB CHÁ BRASIL Nº 4 - 70G";"CHÁ BRASIL Nº 4 - 70G";"Vitalidade";"Tônico";65;"classificação automática de baixa confiança";0
"10945";"AT BELIVE - BROWNIE DOUBLE CHOCOLATE - 40G";"BELIVE - BROWNIE DOUBLE CHOCOLATE - 40G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10946";"FQ IONQUANTIC - ARENUM - 50ML";"IONQUANTIC - ARENUM - 50ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10947";"SN CREATINA - 300G";"CREATINA - 300G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10964";"ROLL-ON ALECRIM E LARANJA - 10ML";"ON ALECRIM E LARANJA - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10965";"ROLL-ON LAVANDA E CEDRO - 10ML";"ON LAVANDA E CEDRO - 10ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10966";"BRUMA RELAXANTE - 120ML";"BRUMA RELAXANTE - 120ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10968";"AC ESCALDA PES NATURAL - 60G";"ESCALDA PES NATURAL - 60G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10973";"ESMALTE ECLAT AFRODITE LOTE:698 VALIDADE:30/01/24";"ESMALTE ECLAT AFRODITE LOTE:698 VALIDADE:30/01/24";"Dermatológico";"Cosmético";70;"classificação automática de baixa confiança";0
"10974";"AS ECLAT - ESMALTE HERA - 7ML";"ECLAT - ESMALTE HERA - 7ML";"Dermatológico";"Cosmético";70;"classificação automática de baixa confiança";0
"10975";"AS ECLAT - ESMALTE JEQUITIBA - 7ML";"ECLAT - ESMALTE JEQUITIBA - 7ML";"Dermatológico";"Cosmético";70;"classificação automática de baixa confiança";0
"10976";"VALVULA BRANCA PUMP C/TRAVA QUADRADA DM28/410(EPB)";"VALVULA BRANCA PUMP C/TRAVA QUADRADA DM28/410(EPB)";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10977";"NW PASTA DE AMENDOIM AVELÃ CROCANTE - 500G";"PASTA DE AMENDOIM AVELÃ CROCANTE - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10978";"NW PASTA DE AMENDOIM COM COOKIES - 500G";"PASTA DE AMENDOIM COM COOKIES - 500G";"Endócrino/Metabólico";"Nutrição";60;"classificação automática de baixa confiança";0
"10979";"NW PASTA DE AMENDOIM MILK + WHEY - 500G";"PASTA DE AMENDOIM MILK + WHEY - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10980";"NW PASTA DE AMENDOIM AVELÃ - 500G";"PASTA DE AMENDOIM AVELÃ - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10983";"NW PASTA DE AMENDOIM COM MEL - 500G";"PASTA DE AMENDOIM COM MEL - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10984";"AT SABOR DA TERRA - AÇUCAR MASCAVO - 500G";"SABOR DA TERRA - AÇUCAR MASCAVO - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10985";"AT SABOR DA TERRA - AÇUCAR DEMERARA - 500G";"SABOR DA TERRA - AÇUCAR DEMERARA - 500G";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10986";"VT ECHINACEA VITALAB - 45 CÁPS.";"ECHINACEA VITALAB - 45 CÁPS.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10987";"LIVRO - SEJA VOCÊ MESMO - 1 UN.";"LIVRO - SEJA VOCÊ MESMO - 1 UN.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10991";"PL PLURI - KIT VANILLA E PITANGA - 1UN.";"PLURI - KIT VANILLA E PITANGA - 1UN.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10992";"PL PLURI - KIT BAMBU E ALECRIM - 1UN.";"PLURI - KIT BAMBU E ALECRIM - 1UN.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10993";"PL PLURI - KIT LAVANDA E FLOR DE CEREJEIRA - 1UN.";"PLURI - KIT LAVANDA E FLOR DE CEREJEIRA - 1UN.";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
"10994";"LV PURO GEL DE ALOE - 120ML";"PURO GEL DE ALOE - 120ML";"Imuno-Infeccioso";"Imunidade";40;"classificação automática de baixa confiança";0
